                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5517,                 3.0721,                 3.9053,                0.00215,                0.13588,                0.00137,                0.00033,                 3.3306,                 3.8051,                 3.9489,               0.070638,              0.0032624,              0.0032624
                      1,                 2.6433,                  1.904,                 3.1053,                0.01331,                0.73983,                0.48722,                0.20071,                 2.5619,                 2.7661,                 3.3269,               0.040606,              0.0065631,              0.0065631
                      2,                 2.2105,                 1.5618,                 2.6247,                0.58874,                0.65173,                0.67812,                0.24149,                 2.1366,                 1.6454,                 2.8996,                0.01054,              0.0098308,              0.0098308
                      3,                  2.035,                 1.4812,                 2.3583,                 0.6327,                0.71768,                 0.7456,                 0.3395,                 1.8701,                 1.3296,                 2.4637,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.8973,                  1.271,                 2.1695,                0.66026,                0.75302,                0.75895,                0.34548,                 1.8751,                 1.5352,                 2.5157,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7983,                  1.222,                 2.0803,                0.77689,                0.82634,                0.85103,                0.41656,                 1.6811,                 1.1213,                 2.2072,               0.009802,               0.009802,               0.009802
                      6,                 1.7365,                 1.1479,                 1.9989,                 0.8725,                0.85422,                0.89262,                0.44732,                 1.6083,                 1.0003,                 2.0821,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7122,                 1.1262,                 1.9515,                0.85023,                 0.8318,                0.87985,                0.43227,                 1.6378,                 1.1102,                 2.1338,               0.009703,               0.009703,               0.009703
                      8,                 1.6641,                 1.0443,                 1.9001,                0.86414,                0.85712,                0.86208,                0.41399,                 1.6823,                 1.0057,                 2.1115,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6545,                0.99898,                  1.889,                0.82392,                0.83768,                0.83626,                0.42393,                 1.6105,                0.97954,                 2.0777,               0.009604,               0.009604,               0.009604
                     10,                  1.607,                0.98183,                 1.8636,                0.87433,                 0.7409,                0.79819,                0.41541,                 1.6297,                 1.0449,                 2.0635,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6052,                0.96734,                 1.8462,                0.74314,                  0.723,                0.79001,                0.40998,                 1.6359,                  1.001,                  2.071,               0.009505,               0.009505,               0.009505
                     12,                 1.5995,                0.93678,                 1.8311,                0.87334,                0.87127,                0.91127,                0.45294,                 1.6058,                0.88526,                 2.0093,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5999,                0.92286,                 1.8239,                0.81562,                0.83399,                0.87142,                 0.4327,                 1.6228,                0.92713,                 2.0098,               0.009406,               0.009406,               0.009406
                     14,                 1.5627,                0.90213,                 1.8059,                0.86929,                0.86433,                0.87238,                0.42901,                 1.6558,                0.85717,                 2.0695,              0.0093565,              0.0093565,              0.0093565
