                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6505,                  3.265,                 3.9505,                0.00116,                0.05624,                0.00072,                0.00018,                 3.3226,                 3.8291,                 3.9413,               0.070638,              0.0032624,              0.0032624
                      1,                 3.2201,                 2.6303,                 3.4018,                0.00017,                0.00633,                  9e-05,                  2e-05,                 3.3075,                 3.9491,                 3.8864,               0.040606,              0.0065631,              0.0065631
                      2,                 2.8729,                 2.3563,                 3.1014,                0.00573,                0.25566,                0.00368,                0.00111,                 2.9559,                 4.0162,                 3.6426,                0.01054,              0.0098308,              0.0098308
                      3,                 2.7076,                 2.1021,                 2.8852,                0.12004,                0.11533,                0.06846,                0.01465,                 3.1549,                 3.3638,                 3.3691,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.4447,                  1.821,                 2.6339,                0.59711,                0.07486,                0.04015,                0.00811,                 3.2147,                 3.2995,                 3.3144,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.2639,                  1.597,                 2.4913,                0.69901,                0.15705,                0.14871,                0.04864,                 2.7394,                 3.1473,                 3.0468,               0.009802,               0.009802,               0.009802
                      6,                 2.1659,                 1.4722,                 2.3861,                0.42269,                0.35053,                0.37478,                0.12156,                 2.4955,                 2.1114,                 2.9034,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0728,                 1.3915,                 2.2856,                0.93768,                0.40943,                0.46545,                0.21272,                 2.1116,                 1.9023,                 2.6329,               0.009703,               0.009703,               0.009703
                      8,                 1.9924,                 1.2857,                 2.2203,                0.65519,                  0.726,                 0.6998,                0.29564,                 1.8633,                 1.3814,                 2.3926,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9356,                 1.2261,                 2.1692,                  0.709,                0.70673,                0.74001,                 0.3429,                 1.7795,                   1.19,                 2.3273,               0.009604,               0.009604,               0.009604
                     10,                  1.884,                 1.1817,                 2.1382,                0.60823,                0.62389,                0.61007,                0.24669,                 1.9085,                 1.5391,                 2.4379,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8591,                 1.1556,                 2.0917,                0.72148,                0.59256,                0.64032,                0.32027,                 1.8179,                 1.2004,                 2.2952,               0.009505,               0.009505,               0.009505
                     12,                 1.8379,                 1.1279,                 2.0679,                0.78179,                0.79825,                0.82049,                0.35712,                 1.7762,                 1.0686,                 2.2678,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.812,                 1.0948,                 2.0419,                0.71981,                 0.7978,                0.80025,                0.38557,                 1.6587,                  1.051,                 2.1666,               0.009406,               0.009406,               0.009406
                     14,                 1.7596,                  1.078,                 2.0172,                 0.7889,                0.81091,                  0.838,                0.39628,                 1.6801,                 1.0437,                 2.1979,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7933,                 1.0864,                 2.0353,                0.69179,                0.76443,                0.80311,                0.37943,                  1.662,                 1.0658,                 2.1881,               0.009307,               0.009307,               0.009307
                     16,                 1.7289,                 1.0532,                  1.985,                 0.7944,                0.81896,                0.85322,                0.43726,                 1.6042,                0.97558,                 2.1077,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7108,                 1.0468,                 1.9853,                0.65148,                  0.712,                 0.7375,                 0.3149,                 1.9031,                 1.2239,                 2.3594,               0.009208,               0.009208,               0.009208
                     18,                  1.727,                 1.0314,                 1.9538,                 0.5363,                0.62907,                0.55544,                0.27128,                 1.8122,                 1.3358,                 2.3025,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6957,                 1.0264,                 1.9231,                 0.9865,                0.46611,                0.49716,                0.26469,                 1.7537,                 1.5246,                 2.2656,               0.009109,               0.009109,               0.009109
                     20,                 1.6955,                 1.0073,                 1.9581,                0.80817,                0.79061,                0.84393,                0.41379,                 1.6114,                0.99789,                 2.1035,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6428,                0.98521,                 1.8954,                0.78834,                0.84512,                0.83898,                0.37843,                 1.7185,                 1.0433,                 2.2025,                0.00901,                0.00901,                0.00901
                     22,                 1.6765,                0.99575,                 1.9071,                0.68594,                0.71544,                0.69939,                0.34371,                 1.7049,                 1.1321,                 2.1666,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6585,                0.98128,                 1.8841,                0.80863,                0.79385,                0.81932,                0.38542,                 1.6546,                 1.0431,                 2.1232,               0.008911,               0.008911,               0.008911
                     24,                 1.6483,                0.98475,                 1.9096,                0.81466,                0.81816,                0.85755,                  0.422,                 1.6261,                 1.0532,                 2.0991,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6226,                 0.9612,                 1.8797,                0.81323,                 0.7852,                0.81945,                0.43086,                 1.5786,                0.92997,                 2.0647,               0.008812,               0.008812,               0.008812
                     26,                 1.6083,                0.94329,                  1.871,                0.80691,                0.73923,                0.79098,                0.37703,                 1.6854,                  1.073,                 2.1746,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.6021,                0.94202,                 1.8645,                0.79554,                0.83657,                0.87401,                0.42428,                  1.624,                0.96652,                 2.0863,               0.008713,               0.008713,               0.008713
                     28,                 1.5989,                0.93192,                 1.8758,                0.77361,                0.69237,                0.74612,                  0.377,                 1.6385,                 1.1085,                 2.1201,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.6208,                0.95676,                 1.8595,                0.80427,                0.82713,                0.85527,                0.41935,                 1.6527,                0.91176,                 2.0992,               0.008614,               0.008614,               0.008614
                     30,                 1.5922,                0.92509,                 1.8438,                0.88294,                0.90367,                0.91298,                0.45303,                 1.5794,                0.84605,                 2.0526,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.6059,                0.92733,                 1.8553,                0.85867,                0.87829,                0.89216,                0.43928,                 1.5833,                0.89227,                 2.0518,               0.008515,               0.008515,               0.008515
                     32,                 1.5882,                0.93312,                 1.8359,                0.83172,                0.83879,                0.87654,                0.43825,                 1.5938,                0.90088,                 2.0768,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5742,                 0.9197,                  1.823,                0.85134,                0.86539,                0.90818,                0.45712,                 1.5548,                0.86847,                 2.0265,               0.008416,               0.008416,               0.008416
                     34,                 1.5423,                0.89982,                 1.8107,                0.68028,                 0.7779,                0.70239,                0.36554,                 1.6128,                0.99816,                 2.0807,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5635,                0.90018,                 1.8233,                0.82248,                 0.8474,                0.88478,                0.41519,                 1.6584,                0.92726,                 2.1246,               0.008317,               0.008317,               0.008317
                     36,                 1.5651,                0.91955,                 1.8166,                0.70426,                0.69767,                0.72497,                0.35674,                 1.6777,                 1.0587,                 2.1395,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5389,                0.87647,                 1.7978,                0.83005,                0.92126,                0.91724,                0.44364,                 1.6104,                0.86427,                 2.0779,               0.008218,               0.008218,               0.008218
                     38,                 1.5338,                0.88793,                 1.7929,                0.83469,                0.88877,                0.88424,                0.43957,                 1.6065,                0.83988,                 2.0696,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5459,                0.90193,                 1.8212,                0.81686,                0.86286,                0.88673,                0.46471,                 1.5377,                0.84258,                 1.9972,               0.008119,               0.008119,               0.008119
                     40,                 1.5423,                0.89619,                 1.8023,                 0.8526,                0.89185,                0.90953,                0.46198,                 1.5583,                0.84922,                  2.022,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5536,                0.87605,                 1.8075,                0.78491,                0.82805,                0.86271,                0.43387,                 1.6211,                0.89134,                  2.084,                0.00802,                0.00802,                0.00802
                     42,                 1.5285,                0.87591,                 1.7768,                0.78142,                0.81191,                0.85206,                0.44942,                 1.5425,                0.86583,                  2.022,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4921,                0.85076,                 1.7777,                0.79913,                0.84809,                0.87237,                0.44495,                 1.5936,                0.88303,                 2.0653,               0.007921,               0.007921,               0.007921
                     44,                 1.5157,                0.86939,                 1.7847,                0.67571,                 0.6582,                0.62673,                0.30686,                 1.7772,                 1.2396,                 2.2563,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5212,                  0.889,                 1.7853,                0.90957,                0.47197,                0.48925,                0.25269,                 1.9332,                 1.7982,                 2.3664,               0.007822,               0.007822,               0.007822
                     46,                 1.4817,                 0.8499,                 1.7641,                 0.8094,                0.83678,                0.86186,                0.44354,                 1.6005,                0.88967,                  2.056,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5155,                0.88843,                 1.7682,                0.81304,                0.86937,                0.90139,                0.45482,                  1.551,                0.86732,                 2.0222,               0.007723,               0.007723,               0.007723
                     48,                 1.5165,                0.88122,                 1.7861,                0.80603,                0.82172,                 0.8626,                0.44974,                 1.5742,                0.83116,                 2.0368,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5041,                0.86595,                 1.7777,                0.83002,                0.81351,                0.88748,                0.45213,                 1.5991,                0.84062,                 2.0767,               0.007624,               0.007624,               0.007624
                     50,                  1.516,                0.86389,                 1.7846,                0.80554,                0.80659,                0.84073,                0.41393,                 1.6337,                0.89855,                 2.0897,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.5068,                0.85505,                 1.7705,                0.84709,                0.82766,                0.88067,                0.44665,                 1.6247,                0.81779,                 2.0866,               0.007525,               0.007525,               0.007525
                     52,                  1.503,                0.85164,                 1.7684,                0.82727,                 0.8614,                0.85648,                 0.4437,                 1.5475,                0.86297,                 2.0005,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5156,                0.86909,                  1.767,                0.74446,                0.83885,                0.81386,                 0.4144,                 1.6032,                0.91058,                 2.0336,               0.007426,               0.007426,               0.007426
                     54,                 1.4773,                0.84701,                 1.7248,                0.86047,                0.85214,                0.86969,                0.44145,                 1.5874,                0.81382,                 2.0515,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4951,                0.86452,                 1.7703,                0.82827,                0.89913,                 0.8927,                0.42804,                 1.6206,                0.85867,                 2.0841,               0.007327,               0.007327,               0.007327
                     56,                 1.4904,                0.84235,                 1.7619,                0.86435,                0.88257,                0.91334,                0.46512,                  1.546,                0.81877,                  2.009,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4636,                0.82816,                 1.7438,                 0.8249,                0.84173,                  0.871,                0.41613,                 1.6566,                0.85204,                 2.0926,               0.007228,               0.007228,               0.007228
                     58,                 1.4926,                0.85706,                 1.7699,                0.83541,                0.85706,                0.88699,                0.44801,                 1.5784,                0.81275,                 2.0361,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4776,                0.82314,                 1.7252,                 0.8457,                 0.8964,                0.90223,                0.44917,                 1.6106,                0.81011,                 2.0868,               0.007129,               0.007129,               0.007129
                     60,                 1.4857,                0.82998,                 1.7558,                0.86465,                0.85429,                0.88345,                0.46093,                 1.5685,                0.79611,                 2.0382,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4605,                0.83795,                 1.7234,                0.82474,                0.74538,                 0.8139,                0.39907,                 1.6377,                0.90305,                 2.0928,                0.00703,                0.00703,                0.00703
                     62,                 1.4361,                0.82002,                 1.7018,                0.83292,                0.89319,                0.91288,                0.45416,                 1.5889,                0.79439,                 2.0382,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4674,                0.83655,                 1.7374,                0.82856,                0.89624,                0.90463,                0.44891,                 1.6359,                0.80611,                 2.0812,               0.006931,               0.006931,               0.006931
                     64,                 1.4564,                0.82366,                 1.7516,                0.82254,                0.74339,                0.81364,                0.42993,                  1.579,                0.91244,                 2.0456,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4639,                 0.8461,                 1.7535,                0.74727,                0.75566,                0.79463,                0.40393,                 1.6328,                0.86536,                 2.0728,               0.006832,               0.006832,               0.006832
                     66,                 1.4685,                0.80966,                 1.7085,                0.81933,                0.81003,                 0.8782,                0.44204,                  1.603,                 0.8732,                 2.0653,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4419,                0.83186,                  1.708,                0.81566,                 0.9077,                 0.9058,                0.46169,                 1.5816,                0.78628,                 2.0577,               0.006733,               0.006733,               0.006733
                     68,                 1.4471,                0.82488,                 1.7079,                0.87257,                0.86418,                0.90238,                0.44285,                 1.6003,                0.81576,                 2.0682,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4536,                0.83676,                 1.7265,                0.87155,                0.87789,                0.91585,                0.46426,                 1.5838,                0.78614,                  2.065,               0.006634,               0.006634,               0.006634
