                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7281,                  3.277,                 2.5591,                0.27451,                0.48676,                0.30723,                0.11152,                 1.9458,                  2.543,                 2.2872,               0.070638,              0.0032624,              0.0032624
                      1,                 1.7884,                 1.5634,                 2.0174,                0.61088,                0.69759,                0.72458,                 0.3511,                 1.6284,                 1.6209,                 2.1452,               0.040606,              0.0065631,              0.0065631
                      2,                 1.7124,                 1.3679,                 1.9276,                0.77544,                0.77724,                0.74285,                0.36182,                 1.6543,                 1.6848,                  2.123,                0.01054,              0.0098308,              0.0098308
                      3,                 1.7351,                 1.1795,                 1.8964,                0.79656,                0.77726,                 0.8064,                0.42041,                 1.5687,                 1.0295,                 1.8975,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.6284,                 1.0764,                 1.7847,                0.77664,                0.72717,                0.75711,                 0.3845,                 1.6013,                 1.0503,                 1.9261,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6128,                 1.0062,                 1.7795,                0.74132,                0.80195,                0.78905,                0.41628,                 1.5311,                0.98886,                 1.8201,               0.009802,               0.009802,               0.009802
                      6,                 1.5815,                0.94482,                  1.727,                0.88426,                0.87625,                0.88958,                0.44641,                 1.5441,                0.87142,                 1.8219,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5779,                0.94233,                 1.7224,                0.83167,                0.91739,                 0.8861,                0.44824,                 1.5489,                0.88402,                 1.8182,               0.009703,               0.009703,               0.009703
                      8,                 1.5433,                0.90127,                 1.6828,                0.87076,                0.80775,                0.87812,                0.46537,                 1.5628,                0.85093,                  1.804,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5285,                0.89044,                 1.6788,                0.86945,                0.87644,                0.92735,                  0.477,                 1.4964,                0.86824,                  1.753,               0.009604,               0.009604,               0.009604
                     10,                  1.485,                0.85813,                 1.6516,                 0.9396,                0.90641,                0.93239,                0.48611,                 1.5348,                 0.8256,                 1.7746,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5052,                0.85745,                 1.6397,                0.68128,                0.60561,                0.64361,                 0.3545,                 1.5494,                 1.3586,                 1.7996,               0.009505,               0.009505,               0.009505
                     12,                 1.5049,                0.85594,                 1.6346,                0.88195,                0.80405,                0.89117,                0.46153,                 1.5466,                0.88151,                 1.7789,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4943,                0.83595,                 1.6264,                0.85328,                0.80906,                0.86516,                0.42161,                  1.597,                0.88173,                 1.8046,               0.009406,               0.009406,               0.009406
                     14,                 1.4508,                0.83319,                    1.6,                0.84459,                0.86749,                0.88503,                0.44638,                 1.5855,                0.82458,                 1.7794,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4905,                0.84982,                 1.6094,                0.86732,                0.85635,                0.89394,                0.45198,                 1.5645,                0.81332,                 1.7463,               0.009307,               0.009307,               0.009307
                     16,                  1.447,                0.82663,                 1.5841,                0.88449,                0.88764,                0.91829,                0.46269,                  1.558,                0.75147,                 1.7211,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4583,                0.82602,                 1.5928,                0.88213,                0.90229,                0.93468,                0.46064,                 1.5621,                0.77793,                 1.7192,               0.009208,               0.009208,               0.009208
                     18,                 1.4566,                0.82462,                 1.5724,                0.85393,                0.84849,                0.90086,                0.44613,                 1.6225,                0.78318,                 1.7548,              0.0091585,              0.0091585,              0.0091585
                     19,                  1.444,                0.81781,                 1.5512,                0.91102,                0.87157,                 0.9289,                0.45877,                 1.5241,                0.82359,                 1.6953,               0.009109,               0.009109,               0.009109
                     20,                 1.4229,                0.81888,                 1.5531,                0.86579,                0.90137,                0.91874,                0.45169,                 1.5728,                0.76554,                 1.7585,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3939,                0.79929,                 1.5336,                 0.8333,                0.75039,                0.78597,                0.38499,                 1.6392,                0.89642,                 1.7892,                0.00901,                0.00901,                0.00901
                     22,                  1.427,                0.81337,                 1.5261,                0.87365,                0.82119,                0.88751,                0.43823,                 1.6101,                0.78465,                 1.7173,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.4067,                0.81327,                 1.5223,                0.83586,                0.84216,                0.86382,                  0.409,                 1.6144,                0.87075,                 1.7427,               0.008911,               0.008911,               0.008911
                     24,                 1.4266,                0.79604,                 1.5478,                0.81555,                0.82241,                0.87817,                0.42518,                 1.6151,                0.80511,                 1.7662,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.3981,                0.78502,                 1.5278,                0.89935,                0.88106,                0.93165,                0.46856,                 1.5452,                0.74887,                  1.708,               0.008812,               0.008812,               0.008812
                     26,                 1.3839,                0.79022,                 1.5185,                0.88232,                0.88427,                0.90338,                0.44292,                 1.5672,                0.76444,                 1.7383,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3946,                0.76511,                 1.5328,                0.87704,                0.86816,                0.90931,                0.44722,                 1.5971,                0.74677,                 1.7485,               0.008713,               0.008713,               0.008713
                     28,                 1.3869,                0.75847,                 1.5291,                0.86107,                0.91111,                0.90179,                0.44801,                 1.5715,                0.73883,                 1.7086,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.3996,                0.78297,                  1.517,                0.90471,                 0.9017,                0.93848,                0.45834,                 1.5807,                0.72199,                  1.723,               0.008614,               0.008614,               0.008614
                     30,                  1.369,                0.75856,                 1.4973,                0.87983,                0.87245,                0.91952,                0.46487,                 1.5592,                 0.7148,                 1.7296,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.3987,                0.78912,                 1.5313,                0.84953,                  0.868,                0.89643,                0.45043,                 1.5548,                0.75181,                 1.7172,               0.008515,               0.008515,               0.008515
                     32,                 1.3821,                0.76354,                 1.5008,                0.91331,                0.84782,                0.90896,                0.46133,                 1.5459,                0.75568,                 1.6989,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.3582,                0.76553,                 1.4851,                 0.8935,                0.90057,                0.92806,                0.47787,                 1.5339,                0.68935,                 1.6887,               0.008416,               0.008416,               0.008416
                     34,                  1.345,                0.74751,                 1.4815,                0.87856,                 0.8539,                0.90793,                0.44699,                 1.5641,                0.76447,                 1.7326,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3517,                0.75964,                 1.4977,                0.89462,                0.84387,                0.90254,                0.45268,                 1.5316,                0.77868,                 1.7218,               0.008317,               0.008317,               0.008317
                     36,                 1.3535,                0.75853,                  1.484,                0.86805,                0.84256,                0.90101,                0.44488,                 1.5892,                0.71865,                 1.7154,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3434,                0.72429,                 1.4776,                0.90334,                0.84272,                0.89337,                0.43861,                 1.5994,                0.72955,                 1.7408,               0.008218,               0.008218,               0.008218
                     38,                 1.3244,                0.74538,                 1.4621,                0.93793,                0.85597,                0.94267,                 0.4756,                  1.566,                0.68832,                  1.704,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3463,                0.76189,                 1.4793,                0.90927,                0.83733,                0.91535,                0.46337,                 1.5722,                0.69215,                 1.7106,               0.008119,               0.008119,               0.008119
                     40,                 1.3479,                0.74393,                 1.4745,                0.89135,                0.89625,                0.91785,                 0.4702,                 1.5664,                0.67071,                 1.6984,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3351,                0.73507,                 1.4668,                0.90984,                0.84572,                0.92263,                 0.4616,                 1.5465,                0.72688,                  1.685,                0.00802,                0.00802,                0.00802
                     42,                 1.3285,                0.73354,                 1.4506,                 0.8996,                0.87723,                0.93446,                0.46743,                 1.5493,                0.67238,                 1.6824,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2999,                0.70457,                 1.4393,                0.89084,                0.88589,                0.93518,                0.47426,                 1.5646,                0.66242,                 1.7136,               0.007921,               0.007921,               0.007921
                     44,                 1.3175,                0.72048,                 1.4614,                0.94646,                0.83321,                0.92509,                0.46247,                  1.558,                0.71228,                 1.6903,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.3335,                0.74848,                 1.4734,                0.89835,                0.87812,                0.92392,                0.47374,                  1.566,                0.68937,                 1.7038,               0.007822,               0.007822,               0.007822
                     46,                 1.2958,                0.70426,                 1.4338,                0.77699,                0.72376,                 0.7308,                 0.3595,                 1.7098,                0.86917,                 1.8298,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3301,                0.73545,                 1.4621,                0.89631,                0.89101,                0.94045,                0.45156,                 1.5974,                0.70372,                 1.7264,               0.007723,               0.007723,               0.007723
                     48,                 1.3114,                0.73559,                  1.456,                0.91897,                0.88145,                0.93442,                0.45148,                  1.582,                0.68538,                 1.7247,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3098,                0.72157,                 1.4468,                0.90742,                0.86686,                0.90533,                0.45875,                 1.5772,                0.67529,                 1.7085,               0.007624,               0.007624,               0.007624
                     50,                 1.3187,                0.71056,                 1.4518,                0.88665,                0.91805,                0.93606,                0.47295,                 1.5823,                0.64148,                  1.705,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3145,                0.71899,                 1.4566,                 0.8896,                0.86572,                0.89806,                0.46554,                 1.5572,                0.68983,                 1.7223,               0.007525,               0.007525,               0.007525
                     52,                 1.3035,                  0.721,                 1.4607,                0.90245,                0.82603,                0.89006,                0.44062,                 1.5833,                0.71489,                  1.748,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.312,                0.73774,                 1.4544,                0.92533,                0.87053,                 0.9117,                0.43361,                 1.6139,                0.72145,                 1.7776,               0.007426,               0.007426,               0.007426
                     54,                 1.2931,                0.70286,                 1.4325,                0.88602,                0.82488,                0.86968,                0.42611,                  1.634,                0.71251,                  1.791,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2969,                0.71656,                 1.4415,                0.88376,                0.88594,                0.91619,                0.45428,                 1.6051,                0.68103,                 1.7307,               0.007327,               0.007327,               0.007327
                     56,                  1.294,                0.70475,                 1.4429,                0.90861,                0.87826,                0.90269,                0.44422,                 1.6025,                0.67448,                 1.7545,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2836,                0.69301,                 1.4363,                0.82602,                 0.8448,                0.88356,                0.44951,                 1.6266,                0.70042,                 1.7737,               0.007228,               0.007228,               0.007228
                     58,                 1.2963,                0.72025,                 1.4539,                0.89624,                0.78837,                0.87739,                0.42837,                 1.6139,                0.73832,                 1.7197,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.2878,                0.68616,                 1.4159,                0.90062,                0.82897,                0.89726,                0.43005,                 1.6169,                0.70167,                 1.7565,               0.007129,               0.007129,               0.007129
                     60,                 1.2953,                0.70246,                 1.4347,                0.92055,                 0.8469,                0.92648,                0.44786,                 1.5984,                0.68196,                 1.7079,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2758,                0.70065,                 1.4079,                0.87576,                0.86882,                0.91078,                0.44599,                 1.5915,                 0.6961,                 1.7024,                0.00703,                0.00703,                0.00703
                     62,                 1.2515,                0.68134,                 1.3864,                0.87365,                0.84814,                0.89512,                0.45948,                 1.5772,                0.67603,                 1.7155,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.2753,                0.68765,                 1.4158,                0.84175,                0.82386,                 0.8453,                0.40433,                 1.6527,                0.75674,                 1.7502,               0.006931,               0.006931,               0.006931
                     64,                 1.2594,                 0.6949,                 1.4089,                0.90201,                0.86009,                0.90934,                0.45906,                 1.6014,                0.67501,                 1.7068,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2731,                0.70315,                 1.4232,                0.87572,                0.84704,                0.90603,                0.45106,                 1.6095,                0.72416,                 1.7358,               0.006832,               0.006832,               0.006832
                     66,                 1.2678,                0.67328,                 1.3929,                0.89524,                0.82606,                 0.9069,                0.44783,                 1.6048,                0.67881,                 1.7318,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.2533,                0.69365,                 1.3978,                0.88288,                0.82344,                0.89084,                0.45461,                  1.608,                0.65683,                 1.7326,               0.006733,               0.006733,               0.006733
                     68,                  1.249,                0.67645,                 1.3942,                0.89514,                0.88277,                0.90489,                0.44194,                  1.625,                0.68061,                 1.7757,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.2501,                0.68194,                 1.4064,                0.92259,                0.79817,                0.89544,                0.44591,                 1.6068,                0.67812,                 1.7498,               0.006634,               0.006634,               0.006634
                     70,                  1.236,                0.66866,                 1.3924,                 0.9101,                0.84802,                0.91447,                0.44437,                 1.6156,                0.66976,                 1.7788,              0.0065845,              0.0065845,              0.0065845
                     71,                  1.255,                0.67199,                  1.401,                0.91196,                0.88725,                0.92594,                0.44994,                 1.6139,                0.65733,                 1.7569,               0.006535,               0.006535,               0.006535
                     72,                 1.2585,                0.69736,                 1.3978,                0.88899,                0.84202,                0.91525,                0.42603,                 1.6729,                 0.6932,                  1.807,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.2405,                0.67082,                 1.3826,                0.88146,                0.82396,                0.88523,                0.42116,                 1.6717,                0.69213,                 1.7994,               0.006436,               0.006436,               0.006436
                     74,                 1.2399,                0.67433,                 1.3784,                0.86582,                0.83673,                0.88597,                0.43102,                 1.6439,                0.69384,                 1.7611,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2466,                0.67714,                 1.3897,                0.87016,                0.79263,                0.84911,                0.41168,                 1.6725,                0.73304,                 1.7818,               0.006337,               0.006337,               0.006337
                     76,                 1.2249,                0.68803,                 1.3726,                0.86571,                0.86623,                0.88657,                0.43668,                 1.6237,                0.69456,                 1.7805,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2297,                0.65708,                 1.3787,                0.89718,                0.79716,                0.89409,                0.44742,                 1.6174,                0.68986,                 1.7439,               0.006238,               0.006238,               0.006238
                     78,                 1.2049,                 0.6417,                 1.3699,                0.91225,                 0.8883,                0.90291,                0.44516,                 1.6397,                0.66855,                 1.7718,              0.0061885,              0.0061885,              0.0061885
