                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5746,                 3.1934,                 3.9695,                0.00228,                0.04923,                0.00123,                0.00023,                 3.3225,                  3.892,                 3.8849,               0.070638,              0.0032624,              0.0032624
                      1,                  3.226,                 2.6887,                 3.3938,                0.00024,                0.01582,                0.00013,                  2e-05,                 3.2842,                 4.1051,                 3.8288,               0.040606,              0.0065631,              0.0065631
                      2,                  2.886,                 2.3484,                 3.0699,                0.00762,                0.30169,                0.00544,                0.00142,                  2.892,                 5.4137,                 3.2405,                0.01054,              0.0098308,              0.0098308
                      3,                 2.6853,                 2.1298,                 2.8285,                0.01277,                0.18207,                0.01619,                0.00479,                 2.7053,                 4.2847,                  2.995,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.4477,                 2.0315,                  2.574,                0.17553,                0.21861,                0.10496,                0.02744,                 2.6568,                 3.9428,                 3.0436,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.2919,                 1.7473,                 2.4402,                0.00694,                0.36055,                0.00593,                0.00171,                 2.9311,                 3.7287,                 3.3969,               0.009802,               0.009802,               0.009802
                      6,                 2.1754,                 1.6375,                 2.3034,                  0.726,                0.27596,                0.20565,                0.06137,                 2.5908,                 2.7589,                 2.9125,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0918,                  1.485,                 2.2073,                0.91259,                 0.3621,                0.44982,                0.17932,                 2.3824,                 2.2893,                 2.7233,               0.009703,               0.009703,               0.009703
                      8,                 1.9965,                 1.3727,                 2.1146,                0.70089,                0.33457,                0.26923,                0.10749,                 2.3283,                 2.6201,                  2.555,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9391,                 1.3248,                  2.061,                0.53844,                0.04344,                 0.0134,                0.00405,                 2.8266,                 3.9471,                 3.0989,               0.009604,               0.009604,               0.009604
                     10,                 1.8874,                 1.2447,                 2.0201,                0.49079,                0.61526,                0.51163,                0.23035,                 1.9335,                 1.7623,                 2.1679,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8494,                 1.2265,                 1.9717,                0.59707,                0.13494,                0.08953,                0.03902,                 2.6767,                 3.6242,                 2.8957,               0.009505,               0.009505,               0.009505
                     12,                 1.8367,                 1.1873,                 1.9511,                0.77611,                0.28835,                0.28968,                0.12745,                 2.2755,                 3.2847,                  2.503,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8122,                 1.1465,                 1.9209,                0.28549,                0.30407,                0.27923,                0.12712,                 2.1025,                 2.5837,                 2.3243,               0.009406,               0.009406,               0.009406
                     14,                  1.757,                 1.1088,                 1.8833,                0.44512,                0.37666,                0.41177,                0.18773,                 2.0263,                 2.0484,                 2.2134,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7818,                 1.1357,                 1.8959,                 0.5502,                 0.5431,                0.54111,                0.29721,                 1.6951,                  1.523,                 1.9709,               0.009307,               0.009307,               0.009307
                     16,                 1.7175,                 1.0788,                 1.8422,                0.77874,                0.75587,                0.82422,                0.41313,                 1.6318,                 1.0368,                 1.8661,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7209,                 1.0715,                 1.8421,                 0.7556,                 0.8119,                0.82213,                0.40125,                 1.6255,                 1.0569,                 1.8492,               0.009208,               0.009208,               0.009208
                     18,                 1.7142,                 1.0591,                 1.8165,                0.84258,                0.80999,                0.86767,                0.41533,                 1.6316,                 1.0366,                 1.8394,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6939,                 1.0583,                 1.7907,                0.47223,                0.59716,                0.54445,                0.31021,                 1.6809,                 1.2592,                 1.8983,               0.009109,               0.009109,               0.009109
                     20,                 1.6803,                 1.0354,                 1.7975,                0.78733,                0.77688,                0.78364,                0.38484,                 1.6658,                 1.0462,                 1.8459,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6454,                 1.0182,                 1.7672,                0.34669,                0.18022,                0.21984,                0.09152,                 2.3845,                  2.855,                 2.5089,                0.00901,                0.00901,                0.00901
                     22,                 1.6731,                 1.0236,                 1.7589,                0.74209,                0.74314,                0.78352,                 0.4026,                 1.6302,                 1.0737,                 1.8139,              0.0089605,              0.0089605,              0.0089605
                     23,                  1.653,                 1.0099,                 1.7386,                0.53308,                 0.7633,                0.63476,                0.35126,                 1.5841,                 1.3745,                 1.7598,               0.008911,               0.008911,               0.008911
                     24,                 1.6496,                 1.0098,                 1.7578,                 0.8272,                0.79694,                0.86254,                0.43665,                 1.5949,                0.95995,                 1.7905,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6227,                0.98911,                  1.724,                0.70055,                0.75843,                0.74462,                0.39002,                 1.5851,                 1.0152,                 1.7734,               0.008812,               0.008812,               0.008812
                     26,                 1.6091,                0.97114,                 1.7106,                 0.7518,                0.74655,                0.76286,                0.38751,                 1.6511,                 1.0853,                 1.8534,              0.0087625,              0.0087625,              0.0087625
