                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6013,                 3.2313,                 3.9862,                  9e-05,                0.00316,                  5e-05,                  2e-05,                 3.3294,                 3.8599,                 3.8632,               0.070638,              0.0032624,              0.0032624
                      1,                  3.316,                 2.7014,                 3.4056,                0.00073,                 0.1519,                0.00059,                0.00015,                 3.2625,                 3.9551,                 3.7656,               0.040606,              0.0065631,              0.0065631
                      2,                  2.966,                 2.3954,                 3.1159,                0.01621,                 0.2548,                0.04949,                0.01741,                 3.2367,                  3.853,                  3.766,                0.01054,              0.0098308,              0.0098308
                      3,                 2.7481,                 2.1274,                 2.8639,                0.00734,                 0.0915,                0.00493,                0.00166,                 2.8741,                 8.0165,                 3.1509,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.5104,                 1.9486,                  2.622,                0.00769,                0.03604,                0.00444,                0.00156,                 2.8161,                 9.3496,                 3.0548,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3705,                 1.7151,                 2.4976,                0.50663,                0.04529,                0.00443,                0.00133,                 3.0803,                 8.2645,                 3.3498,               0.009802,               0.009802,               0.009802
                      6,                   2.22,                 1.5568,                 2.3387,                0.42442,                0.43855,                0.39321,                 0.1361,                 2.3439,                 2.0202,                  2.645,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1431,                 1.4529,                 2.2587,                 0.2993,                 0.2922,                0.28528,                0.11081,                 2.3287,                 2.4741,                 2.6595,               0.009703,               0.009703,               0.009703
                      8,                 2.0499,                 1.3455,                 2.1728,                0.54884,                0.10074,                0.02762,                0.00898,                 2.8964,                 3.5638,                 3.2184,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9886,                 1.2917,                 2.1166,                0.62796,                0.57948,                0.62312,                0.27857,                 1.9362,                 1.5045,                 2.2407,               0.009604,               0.009604,               0.009604
                     10,                 1.9026,                 1.2113,                 2.0589,                0.56685,                0.63473,                0.62775,                 0.2816,                 1.9803,                 1.3152,                 2.2468,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8733,                 1.1912,                 2.0144,                0.49945,                0.48388,                0.50575,                0.20195,                 2.0147,                  1.819,                  2.283,               0.009505,               0.009505,               0.009505
                     12,                 1.8583,                 1.1607,                 1.9892,                0.71555,                0.19039,                 0.1726,                0.06563,                 2.5336,                 2.9139,                 2.7441,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8372,                 1.1252,                 1.9648,                0.90575,                0.36604,                0.48022,                0.24388,                 1.8688,                 1.8225,                 2.1628,               0.009406,               0.009406,               0.009406
                     14,                 1.7696,                  1.094,                 1.9209,                0.64252,                0.62004,                0.62533,                0.31525,                 1.7019,                 1.4438,                  1.998,              0.0093565,              0.0093565,              0.0093565
                     15,                   1.81,                 1.1088,                 1.9367,                0.51514,                0.45586,                0.49356,                0.25199,                 1.8788,                  1.846,                 2.1289,               0.009307,               0.009307,               0.009307
