                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6031,                 3.2726,                 3.9711,                0.00181,                0.10477,                0.00111,                0.00028,                 3.3289,                 3.8289,                 3.9176,               0.070638,              0.0032624,              0.0032624
                      1,                 3.2123,                 2.6699,                 3.3867,                0.00114,                0.08558,                0.00064,                0.00014,                 3.3141,                 3.9283,                  3.878,               0.040606,              0.0065631,              0.0065631
                      2,                 2.9139,                 2.4232,                 3.0622,                0.01784,                0.60543,                0.05198,                0.01398,                 3.0339,                 3.2575,                 3.5303,                0.01054,              0.0098308,              0.0098308
                      3,                 2.6939,                 2.1068,                  2.829,                0.57363,                 0.0573,                0.03371,                0.00791,                 3.1265,                 3.4245,                 3.3245,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.4856,                 1.8616,                 2.6176,                0.63881,                0.12292,                0.08452,                0.02107,                 2.9447,                 3.0347,                 3.2138,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3222,                 1.6683,                 2.4904,                0.35633,                0.30946,                0.33465,                0.12353,                 2.3888,                 2.3223,                 2.8186,               0.009802,               0.009802,               0.009802
                      6,                 2.1697,                 1.5451,                 2.3403,                0.88436,                0.31025,                 0.3745,                 0.1482,                 2.2889,                 2.0602,                  2.739,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1143,                 1.4356,                 2.2737,                0.93668,                0.39926,                 0.4499,                0.20998,                 2.1902,                  2.112,                 2.5853,               0.009703,               0.009703,               0.009703
                      8,                 2.0064,                 1.3163,                 2.1851,                0.52785,                0.64067,                0.61384,                0.25675,                 1.9292,                  1.483,                 2.3583,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9447,                 1.2695,                 2.1379,                0.89358,                 0.2427,                0.29783,                0.11727,                 2.3714,                 2.6186,                 2.8239,               0.009604,               0.009604,               0.009604
                     10,                 1.8845,                 1.2071,                 2.1029,                0.38557,                0.27357,                0.32127,                0.13587,                 2.3804,                 2.5008,                 2.7652,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8749,                  1.181,                 2.0753,                0.66413,                0.56948,                0.62773,                0.30617,                  1.857,                 1.4189,                 2.2951,               0.009505,               0.009505,               0.009505
                     12,                 1.8369,                 1.1591,                 2.0415,                0.93603,                0.39684,                 0.4658,                0.22787,                 2.0933,                 1.7335,                 2.4962,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8194,                 1.1187,                 2.0116,                0.57546,                0.68116,                 0.6391,                0.31032,                 1.7466,                 1.3669,                 2.1903,               0.009406,               0.009406,               0.009406
                     14,                 1.7431,                 1.0963,                 1.9747,                0.54926,                0.55035,                0.52709,                0.27834,                 1.7993,                 1.5817,                 2.2614,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7974,                  1.104,                 2.0076,                0.70597,                 0.7029,                0.73223,                 0.3319,                 1.7819,                 1.1952,                 2.2123,               0.009307,               0.009307,               0.009307
                     16,                 1.7244,                 1.0662,                 1.9504,                0.49946,                0.49162,                0.50559,                0.24764,                 1.8725,                 1.5698,                 2.3171,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7224,                 1.0596,                 1.9544,                0.80084,                0.82542,                0.87018,                 0.4187,                 1.6507,                 1.0221,                 2.0537,               0.009208,               0.009208,               0.009208
                     18,                  1.724,                 1.0426,                 1.9209,                0.91477,                0.32832,                0.35746,                0.14127,                 2.3829,                 2.3338,                 2.7235,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6923,                 1.0291,                 1.8876,                0.47323,                0.44455,                0.46804,                0.21831,                 2.2086,                 1.9159,                 2.5536,               0.009109,               0.009109,               0.009109
                     20,                 1.6885,                  1.019,                 1.9185,                0.58626,                0.59827,                0.58578,                0.27301,                 1.7962,                 1.3679,                 2.1972,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6545,                0.98292,                 1.8683,                0.76024,                0.76106,                 0.7983,                0.36076,                 1.7227,                 1.1002,                 2.1038,                0.00901,                0.00901,                0.00901
                     22,                 1.6616,                 1.0023,                 1.8598,                0.83008,                 0.8425,                0.90096,                0.42737,                 1.6243,                0.92549,                 2.0445,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6661,                0.99284,                 1.8601,                0.69592,                0.56391,                0.62903,                0.29066,                 1.9826,                 1.4384,                 2.3594,               0.008911,               0.008911,               0.008911
                     24,                 1.6631,                0.98343,                 1.8836,                  0.534,                0.60721,                0.54028,                0.28705,                 1.7543,                 1.3418,                 2.1767,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6365,                0.96611,                 1.8457,                0.48116,                0.48241,                0.48869,                0.23911,                 2.0456,                  1.581,                 2.3997,               0.008812,               0.008812,               0.008812
                     26,                 1.6153,                0.94657,                 1.8293,                0.80851,                  0.813,                0.85988,                0.41778,                 1.6077,                0.94527,                 2.0129,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.6084,                0.94421,                 1.8302,                0.84624,                0.80867,                 0.8591,                0.42959,                 1.5951,                0.95257,                  1.976,               0.008713,               0.008713,               0.008713
                     28,                 1.6006,                0.93222,                 1.8357,                0.53217,                0.56102,                0.52827,                0.28465,                 1.7314,                  1.355,                 2.1783,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.6225,                0.94725,                 1.8276,                0.81023,                 0.8102,                0.86229,                 0.4174,                 1.6189,                0.91944,                 2.0116,               0.008614,               0.008614,               0.008614
                     30,                 1.5896,                0.93147,                 1.8006,                0.86099,                0.85328,                0.89063,                0.43615,                 1.6185,                0.90233,                 1.9903,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.6066,                0.93413,                 1.8159,                0.62709,                0.69883,                0.62761,                0.32414,                 1.6553,                  1.128,                 2.0693,               0.008515,               0.008515,               0.008515
                     32,                 1.5846,                0.92633,                 1.8033,                0.74382,                0.67263,                0.71661,                 0.3697,                 1.6651,                 1.0339,                 2.0565,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5703,                0.92384,                 1.7828,                0.76296,                 0.7612,                0.78919,                0.39486,                 1.6381,                0.94732,                 2.0359,               0.008416,               0.008416,               0.008416
                     34,                 1.5389,                0.89509,                 1.7761,                0.88398,                0.85743,                0.89943,                0.44826,                 1.5748,                0.85373,                 1.9521,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5647,                0.89753,                 1.7954,                0.68884,                0.77873,                 0.7107,                0.35871,                 1.6384,                0.99731,                 2.0321,               0.008317,               0.008317,               0.008317
                     36,                 1.5629,                0.90997,                 1.7755,                0.89265,                0.87469,                0.90977,                0.44355,                 1.5858,                0.88001,                 1.9703,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5457,                0.87971,                 1.7618,                0.40476,                  0.449,                0.46532,                0.21852,                 1.9411,                 1.6108,                 2.3183,               0.008218,               0.008218,               0.008218
                     38,                 1.5332,                0.88595,                 1.7574,                0.77138,                0.76139,                0.77497,                 0.3872,                  1.663,                 1.0129,                 2.0228,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5439,                0.89961,                 1.7769,                0.86528,                0.85799,                0.90861,                0.45551,                 1.5766,                0.84703,                 1.9457,               0.008119,               0.008119,               0.008119
