                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6915,                 3.1957,                 4.0014,                0.00128,                0.05862,                0.00079,                0.00021,                 3.3294,                 3.8435,                 3.9098,               0.070638,              0.0032624,              0.0032624
                      1,                 3.2371,                 2.5848,                  3.386,                0.00086,                 0.0538,                0.00048,                0.00011,                 3.3335,                 4.0198,                 3.8743,               0.040606,              0.0065631,              0.0065631
                      2,                 2.8935,                  2.369,                 3.0486,                0.00265,                0.14583,                0.00171,                0.00037,                 3.1156,                  3.663,                 3.5512,                0.01054,              0.0098308,              0.0098308
                      3,                 2.7031,                 2.0797,                 2.8279,                0.00499,                0.32202,                0.00502,                0.00164,                 2.9202,                 3.5854,                 3.3077,              0.0098515,              0.0098515,              0.0098515
                      4,                   2.48,                 1.8497,                 2.6023,                0.29673,                0.13494,                0.16907,                0.05574,                 2.5958,                 2.8345,                 3.0772,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3055,                 1.6311,                 2.4763,                0.22087,                 0.1146,                0.12759,                0.03541,                 2.5813,                 2.9324,                 3.0118,               0.009802,               0.009802,               0.009802
                      6,                 2.1663,                 1.5146,                 2.3441,                0.23804,                0.18762,                0.20613,                0.07289,                 2.4302,                 2.3886,                 2.7889,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1158,                 1.4044,                 2.2824,                0.74157,                0.19593,                0.20081,                0.08023,                 2.3546,                 2.7994,                 2.8044,               0.009703,               0.009703,               0.009703
                      8,                 2.0053,                 1.2908,                 2.1881,                0.36821,                0.39674,                0.40393,                0.17483,                 2.0423,                 1.9973,                 2.4963,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9516,                 1.2576,                 2.1384,                0.67252,                0.61869,                 0.6543,                0.33019,                 1.8234,                 1.2667,                 2.2501,               0.009604,               0.009604,               0.009604
                     10,                 1.9083,                 1.2193,                 2.1153,                0.17215,                0.11792,                0.12419,                0.03422,                  2.531,                 3.1101,                 2.9314,              0.0095545,              0.0095545,              0.0095545
