                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.896,                  1.963,                 1.7476,                0.64218,                0.62762,                0.63993,                0.33545,                 1.6164,                 1.1839,                  1.607,               0.070638,              0.0032624,              0.0032624
                      1,                 1.6421,                 1.0559,                 1.4818,                0.74159,                0.86115,                0.79009,                0.42708,                 1.4324,                0.87883,                 1.4431,               0.040606,              0.0065631,              0.0065631
                      2,                 1.5977,                0.99155,                 1.4093,                0.73584,                0.75434,                0.74656,                0.36524,                 1.6117,                0.88928,                  1.532,                0.01054,              0.0098308,              0.0098308
                      3,                 1.6022,                0.93308,                 1.3916,                0.86837,                0.86621,                0.88345,                0.46237,                 1.4698,                0.86561,                 1.4138,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.5788,                0.88623,                 1.3664,                0.91983,                0.45495,                0.49866,                0.25276,                 1.7677,                 1.6836,                 1.5348,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5579,                0.90556,                 1.3392,                0.85697,                0.83135,                 0.8596,                 0.4565,                 1.5579,                0.76946,                 1.4013,               0.009802,               0.009802,               0.009802
                      6,                 1.5453,                0.88792,                 1.3313,                0.65169,                0.58768,                0.60181,                0.34359,                 1.6068,                 1.2662,                 1.4204,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5213,                0.88672,                 1.3248,                0.88059,                0.89163,                0.92787,                0.48367,                  1.471,                0.79501,                 1.3374,               0.009703,               0.009703,               0.009703
                      8,                 1.5012,                0.85605,                 1.3184,                0.91075,                0.91402,                0.92145,                0.44465,                 1.5686,                0.75083,                 1.3933,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.483,                0.85802,                 1.3148,                0.89788,                0.87568,                0.92173,                0.47208,                 1.4835,                0.81604,                 1.3442,               0.009604,               0.009604,               0.009604
                     10,                 1.4589,                0.83933,                 1.3015,                0.88647,                0.87139,                0.91604,                0.46681,                  1.546,                0.77843,                 1.3727,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4669,                0.84359,                 1.3131,                0.88422,                0.69517,                0.76358,                0.40015,                    1.6,                0.97001,                 1.4421,               0.009505,               0.009505,               0.009505
                     12,                 1.4765,                0.82866,                  1.307,                0.89861,                0.83175,                0.89339,                0.45008,                   1.56,                0.75989,                 1.3832,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4702,                0.81749,                 1.3129,                 0.8992,                0.84731,                0.91787,                 0.4465,                 1.5592,                0.76643,                 1.4167,               0.009406,               0.009406,               0.009406
                     14,                 1.4243,                0.81268,                 1.2902,                0.86579,                0.86892,                 0.9113,                0.45868,                 1.5708,                0.76678,                 1.4183,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4646,                0.82803,                 1.3161,                 0.9191,                0.85231,                0.91616,                0.45909,                 1.5492,                0.75936,                 1.4196,               0.009307,               0.009307,               0.009307
                     16,                 1.4264,                0.81853,                 1.3041,                0.80916,                0.76714,                0.78872,                0.38319,                 1.6561,                0.86507,                 1.4789,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4301,                0.82003,                 1.2947,                0.90525,                0.87553,                 0.9276,                0.47061,                  1.546,                0.72139,                 1.3865,               0.009208,               0.009208,               0.009208
                     18,                 1.4275,                0.82426,                 1.2918,                0.83469,                0.82408,                0.86614,                0.43642,                 1.6079,                0.75079,                 1.4484,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4264,                0.81345,                 1.2926,                0.89317,                0.84572,                0.90605,                0.45314,                 1.5798,                0.71953,                 1.4249,               0.009109,               0.009109,               0.009109
                     20,                 1.4039,                0.80388,                 1.2919,                0.89268,                0.90821,                0.92835,                0.44508,                 1.5801,                0.74865,                 1.4345,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3862,                0.77771,                 1.2789,                0.87443,                0.86972,                0.90508,                0.43354,                 1.6042,                0.71844,                 1.4791,                0.00901,                0.00901,                0.00901
                     22,                 1.4021,                0.81465,                 1.2799,                0.86805,                0.83029,                0.88142,                0.44011,                 1.5906,                0.74614,                  1.445,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3881,                0.80346,                 1.2685,                0.86936,                0.86041,                0.90487,                0.42272,                 1.6197,                0.76687,                  1.465,               0.008911,               0.008911,               0.008911
                     24,                 1.4082,                0.78653,                 1.3037,                0.94593,                0.78728,                0.90339,                0.45891,                 1.5702,                 0.7316,                 1.4328,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.3789,                0.77679,                 1.2727,                0.86421,                0.90229,                0.92262,                0.46207,                  1.548,                0.71912,                  1.443,               0.008812,               0.008812,               0.008812
                     26,                 1.3654,                0.77838,                 1.2651,                0.82015,                 0.8444,                0.89843,                0.44769,                 1.5521,                0.72434,                 1.4167,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3711,                 0.7667,                  1.266,                0.85948,                0.89632,                0.92534,                0.44043,                 1.6196,                0.69498,                 1.4382,               0.008713,               0.008713,               0.008713
                     28,                 1.3623,                0.76862,                 1.2654,                0.86976,                0.87266,                0.93092,                0.45928,                 1.5531,                0.71436,                  1.379,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.3888,                0.78598,                 1.2791,                0.92859,                0.80641,                0.90898,                0.43442,                 1.6359,                0.71031,                 1.4717,               0.008614,               0.008614,               0.008614
