                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8904,                 1.9633,                 1.7562,                0.70282,                0.71807,                0.71382,                0.35405,                 1.6133,                 1.0978,                 1.6477,               0.070638,              0.0032624,              0.0032624
                      1,                  1.644,                 1.0634,                 1.4782,                0.75207,                0.83267,                0.79186,                0.42377,                 1.4304,                0.88288,                 1.4351,               0.040606,              0.0065631,              0.0065631
                      2,                 1.6018,                 1.0023,                  1.405,                0.66946,                0.62723,                0.66649,                0.30608,                 1.6531,                  1.046,                 1.5422,                0.01054,              0.0098308,              0.0098308
                      3,                 1.6072,                0.95301,                 1.4197,                0.75329,                0.74574,                0.75196,                0.37132,                 1.6325,                 0.9416,                 1.5417,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.5682,                0.91579,                 1.3553,                0.89203,                0.84821,                0.87962,                0.43725,                 1.5762,                 0.8334,                 1.4424,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5627,                0.89256,                 1.3552,                0.88968,                0.89301,                0.91122,                 0.4806,                 1.4982,                 0.7209,                 1.3786,               0.009802,               0.009802,               0.009802
                      6,                 1.5472,                0.87274,                 1.3547,                0.93971,                0.66201,                0.75706,                0.42389,                 1.4786,                0.95899,                 1.3819,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5218,                0.87514,                 1.3538,                0.90468,                 0.7721,                0.86937,                0.45024,                 1.5183,                0.78033,                 1.4586,               0.009703,               0.009703,               0.009703
                      8,                 1.5062,                 0.8515,                 1.3416,                0.90323,                0.86748,                0.89193,                0.44641,                 1.5547,                0.78004,                 1.4156,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4871,                0.84576,                  1.319,                0.91448,                 0.8929,                0.91771,                0.47112,                 1.5056,                0.76344,                 1.3513,               0.009604,               0.009604,               0.009604
                     10,                 1.4609,                0.82362,                 1.3056,                0.91905,                0.90229,                0.90596,                0.43843,                 1.5903,                0.73844,                 1.4462,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.469,                0.82575,                 1.3108,                0.84933,                0.87199,                0.88488,                0.44052,                 1.6195,                 0.7145,                 1.4249,               0.009505,               0.009505,               0.009505
                     12,                 1.4822,                0.82637,                 1.3205,                0.86821,                 0.8539,                0.90366,                0.45671,                 1.5501,                0.76127,                 1.3998,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4708,                0.81574,                 1.3153,                0.90096,                0.80019,                0.91774,                0.45315,                 1.5477,                0.77565,                 1.3977,               0.009406,               0.009406,               0.009406
                     14,                 1.4275,                0.80731,                 1.2959,                0.89216,                0.86602,                0.93392,                0.46225,                 1.5547,                0.71601,                 1.4083,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4626,                0.82494,                 1.3111,                0.94054,                0.86705,                 0.9188,                0.44818,                 1.6161,                0.74762,                 1.4395,               0.009307,               0.009307,               0.009307
                     16,                 1.4368,                0.79987,                 1.2921,                0.88968,                  0.876,                 0.9123,                0.45722,                 1.5793,                0.72417,                 1.4061,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4467,                0.79997,                 1.3138,                0.86869,                0.88423,                 0.9196,                0.44433,                 1.5995,                0.80033,                 1.4565,               0.009208,               0.009208,               0.009208
                     18,                 1.4334,                0.81667,                 1.3008,                0.84757,                0.84163,                0.88692,                0.44655,                 1.5891,                 0.7089,                 1.4357,              0.0091585,              0.0091585,              0.0091585
                     19,                  1.434,                0.80648,                 1.2895,                0.92415,                0.81807,                0.89718,                0.43969,                 1.6047,                0.74197,                 1.4153,               0.009109,               0.009109,               0.009109
                     20,                 1.4051,                 0.8012,                  1.286,                0.88211,                0.89421,                0.92574,                0.44423,                 1.5959,                0.74568,                 1.4463,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3858,                 0.7769,                 1.2785,                0.87209,                0.83933,                0.87916,                0.43916,                 1.6326,                0.70938,                  1.471,                0.00901,                0.00901,                0.00901
                     22,                  1.407,                0.79878,                  1.284,                0.88388,                0.88596,                0.92403,                0.45509,                 1.5695,                 0.7135,                 1.4048,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3936,                 0.7993,                 1.2737,                0.88461,                0.85337,                0.90182,                0.42959,                  1.593,                0.76144,                 1.4071,               0.008911,               0.008911,               0.008911
                     24,                 1.4109,                0.78138,                 1.2864,                 0.9305,                0.82873,                0.92658,                0.45573,                 1.5858,                0.68982,                  1.429,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.3933,                 0.7744,                 1.2701,                0.80512,                0.75448,                0.80728,                0.39721,                  1.611,                0.87395,                 1.4707,               0.008812,               0.008812,               0.008812
                     26,                 1.3697,                0.77975,                 1.2669,                 0.8854,                0.92668,                0.94299,                0.46675,                 1.5778,                0.69642,                 1.4145,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3802,                0.76482,                 1.2723,                0.90807,                0.84874,                0.90352,                0.44011,                 1.5856,                0.72292,                 1.4343,               0.008713,               0.008713,               0.008713
                     28,                 1.3617,                 0.7648,                 1.2771,                0.90972,                0.86339,                 0.9255,                0.45588,                 1.5536,                0.72827,                    1.4,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.3829,                0.78278,                 1.2765,                0.85224,                   0.79,                0.86689,                0.43129,                 1.6079,                0.81119,                 1.4403,               0.008614,               0.008614,               0.008614
                     30,                 1.3622,                0.74483,                 1.2612,                0.89279,                0.88414,                 0.9098,                 0.4763,                 1.5454,                0.64648,                 1.4134,              0.0085645,              0.0085645,              0.0085645
                     31,                  1.385,                 0.7727,                 1.2822,                0.82764,                0.75863,                0.83603,                0.42557,                 1.5823,                0.75985,                 1.4228,               0.008515,               0.008515,               0.008515
                     32,                 1.3677,                0.75027,                 1.2673,                0.94725,                0.81847,                0.91252,                0.46406,                 1.5758,                0.67875,                 1.4262,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.3417,                0.74503,                 1.2543,                0.69735,                0.66542,                0.66985,                0.34141,                 1.7142,                0.99852,                 1.5104,               0.008416,               0.008416,               0.008416
                     34,                 1.3351,                0.73582,                 1.2474,                 0.8895,                0.87328,                0.92097,                0.47174,                 1.5775,                0.67479,                 1.4132,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3432,                0.75412,                 1.2528,                0.95053,                0.82838,                0.91812,                0.44106,                  1.602,                0.70338,                  1.469,               0.008317,               0.008317,               0.008317
                     36,                 1.3288,                0.75682,                 1.2539,                0.83381,                0.81795,                0.88545,                0.44657,                 1.5794,                0.71354,                 1.4514,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3296,                0.72338,                  1.244,                0.87388,                0.81368,                0.88109,                0.44752,                 1.6028,                0.71389,                 1.4531,               0.008218,               0.008218,               0.008218
                     38,                 1.3109,                0.73571,                 1.2367,                0.79795,                0.80897,                 0.8564,                0.42105,                 1.6303,                 0.7428,                 1.4691,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3302,                 0.7468,                 1.2643,                 0.9266,                0.82158,                0.91493,                0.46589,                  1.577,                0.66406,                  1.421,               0.008119,               0.008119,               0.008119
                     40,                 1.3276,                 0.7503,                 1.2498,                0.91664,                0.81447,                0.91256,                0.47065,                 1.5667,                0.68659,                 1.4194,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3274,                0.73149,                 1.2413,                0.90804,                0.83384,                0.90234,                0.46115,                 1.5884,                0.67852,                 1.4477,                0.00802,                0.00802,                0.00802
                     42,                  1.317,                0.72826,                 1.2443,                0.90741,                0.85949,                0.92055,                0.46986,                 1.5576,                0.66455,                 1.4292,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2794,                0.71032,                 1.2217,                0.90264,                 0.8932,                0.92698,                0.47609,                 1.6109,                0.63142,                  1.451,               0.007921,               0.007921,               0.007921
                     44,                 1.2969,                0.71445,                 1.2322,                0.84218,                0.85482,                0.89249,                 0.4412,                 1.5929,                0.70561,                 1.4303,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.3137,                0.73629,                 1.2389,                 0.8518,                0.84625,                0.88178,                0.44444,                 1.6049,                0.71282,                 1.4529,               0.007822,               0.007822,               0.007822
